Estabelecimento,Matriz,CNPJ,Empresa,Adquirente,Mês,Produto,Parcela,Valor Bruto,Taxa Contratada,Taxa Aplicada,Diferença Taxa %,Diferença Valor Taxa $,Qtde.
000000080683215,000000012784869,82123891000138,EMPRESA MODELO,Ticket,2023-08-31T21:00:00-03:00,Ticket Flex,0,6.57,0,5.94,5.94,0.39,1
000000080683312,000000008784337,82123891000138,EMPRESA MODELO,Ticket,2023-08-31T21:00:00-03:00,TICKET ALIMENTACAO,0,29.75,0,5.98,5.98,1.78,1
033090890000129,033090890000129,82123891000138,EMPRESA MODELO,Sodexo,2023-08-31T21:00:00-03:00,SODEXO REFEICAO,0,15.52,0,6.89,6.89,1.07,1
033090890000129,,82123891000138,EMPRESA MODELO,Comprocard,2023-08-31T21:00:00-03:00,Comprocard Crédito,0,4.79,0,5.85,5.85,0.28,1
000000080683312,000000008784337,82123891000138,EMPRESA MODELO,Ticket,2023-08-31T21:00:00-03:00,TICKET ALIMENTACAO,0,5.79,0,6.04,6.04,0.35,1
000000080683312,000000008784329,82123891000138,EMPRESA MODELO,Ticket,2023-08-31T21:00:00-03:00,TICKET REFEICAO,0,150,0,6,6,9,1
000000007815071,000000007815066,82123891000138,EMPRESA MODELO,UpBrasil,2023-08-31T21:00:00-03:00,UpBrasil Convênio,0,31.95,0,5.01,5.01,1.6,1
033090890000129,,82123891000138,EMPRESA MODELO,Comprocard,2023-08-31T21:00:00-03:00,Comprocard Crédito,0,9.59,0,5.94,5.94,0.57,1
033090890000129,,82123891000138,EMPRESA MODELO,Comprocard,2023-08-31T21:00:00-03:00,Comprocard Crédito,0,12.71,0,5.9,5.9,0.75,1
033090890000129,,82123891000138,EMPRESA MODELO,Comprocard,2023-08-31T21:00:00-03:00,Comprocard Crédito,0,25.47,0,5.89,5.89,1.5,1
000000080683215,000000008781052,82123891000138,EMPRESA MODELO,Ticket,2023-08-31T21:00:00-03:00,TICKET REFEICAO,0,6.08,0,5.92,5.92,0.36,1
000000080683215,000000012784869,82123891000138,EMPRESA MODELO,Ticket,2023-08-31T21:00:00-03:00,Ticket Flex,0,20.25,0,5.98,5.98,1.21,1
000000080683215,000000008781044,82123891000138,EMPRESA MODELO,Ticket,2023-08-31T21:00:00-03:00,TICKET ALIMENTACAO,0,9.19,0,5.98,5.98,0.55,1
033091040000145,,82123891000138,EMPRESA MODELO,Comprocard,2023-08-31T21:00:00-03:00,Comprocard Crédito,0,2.49,0,8.03,8.03,0.2,1
033090890000129,,82123891000138,EMPRESA MODELO,Cabal,2023-08-31T21:00:00-03:00,CABAL VOUCHER,0,39.65,0,6.51,6.51,2.58,1
033090890000129,,82123891000138,EMPRESA MODELO,Cabal,2023-08-31T21:00:00-03:00,CABAL VOUCHER,0,4.98,0,5.02,5.02,0.25,1
033090890000129,,82123891000138,EMPRESA MODELO,Comprocard,2023-08-31T21:00:00-03:00,Comprocard Crédito,0,33,0,5.91,5.91,1.95,1
000000007815071,000000007815066,82123891000138,EMPRESA MODELO,UpBrasil,2023-08-31T21:00:00-03:00,UpBrasil Convênio,0,22.1,0,5.02,5.02,1.11,1
033091040000145,,82123891000138,EMPRESA MODELO,Comprocard,2023-08-31T21:00:00-03:00,Comprocard Crédito,0,19.56,0,7.92,7.92,1.55,1
033090890000129,,82123891000138,EMPRESA MODELO,Cabal,2023-08-31T21:00:00-03:00,CABAL VOUCHER,0,31.15,0,6.48,6.48,2.02,1
033091040000145,,82123891000138,EMPRESA MODELO,Comprocard,2023-08-31T21:00:00-03:00,Comprocard Crédito,0,1,0,8,8,0.08,1
033091040000145,,82123891000138,EMPRESA MODELO,VR,2023-08-31T21:00:00-03:00,VR REFEICAO,0,282,0,6.85,6.85,19.32,1
000000007815071,000000007815066,82123891000138,EMPRESA MODELO,UpBrasil,2023-08-31T21:00:00-03:00,UpBrasil Convênio,0,42.24,0,5,5,2.11,1
033090890000129,,82123891000138,EMPRESA MODELO,Cabal,2023-08-31T21:00:00-03:00,CABAL VOUCHER,0,82.34,0,6.5,6.5,5.35,1
000000080683312,000000008784337,82123891000138,EMPRESA MODELO,Ticket,2023-08-31T21:00:00-03:00,TICKET ALIMENTACAO,0,6.22,0,5.95,5.95,0.37,1
000000080683312,000000008784337,82123891000138,EMPRESA MODELO,Ticket,2023-08-31T21:00:00-03:00,TICKET ALIMENTACAO,0,0.99,0,6.06,6.06,0.06,1
013998257000126,,82123891000138,EMPRESA MODELO,Valecard,2023-08-31T21:00:00-03:00,Valecard Voucher,0,3.71,2.4,2.7,0.3,0.01,1
033091040000145,033091040000145,82123891000138,EMPRESA MODELO,Sodexo,2023-08-31T21:00:00-03:00,SODEXO REFEICAO,0,69.44,0,6.9,6.9,4.79,1
033091040000145,,82123891000138,EMPRESA MODELO,Comprocard,2023-08-31T21:00:00-03:00,Comprocard Crédito,0,26,0,7.88,7.88,2.05,1
033091040000145,033091040000145,82123891000138,EMPRESA MODELO,Sodexo,2023-08-31T21:00:00-03:00,SODEXO REFEICAO,0,0.01,0,0,0,0,1
033090890000129,,82123891000138,EMPRESA MODELO,Cabal,2023-08-31T21:00:00-03:00,CABAL VOUCHER,0,1.19,0,5.04,5.04,0.06,1
000000007815066,000000007815066,82123891000138,EMPRESA MODELO,UpBrasil,2023-08-31T21:00:00-03:00,UpBrasil Convênio,0,10.99,0,7.37,7.37,0.81,1
033091040000145,,82123891000138,EMPRESA MODELO,VR,2023-08-31T21:00:00-03:00,VR REFEICAO,0,9.99,0,6.81,6.81,0.68,1
033090890000129,,82123891000138,EMPRESA MODELO,Comprocard,2023-08-31T21:00:00-03:00,Comprocard Crédito,0,7.76,0,5.93,5.93,0.46,1
